Column1,tweet_id,created_at,text,intent,strength
0,1.32E+18,10/31/2020 15:39,أهاجر موسم التعب  سأعيد ترميم يشبه الطمأنينة   سلي _ بلاث  رابط ,0,0
1,1.32E+18,10/24/2020 22:00, مستخدم  فد مرة تبارك كتبت اريد اهاجر جان طلع حلم وكعدت فزيت,0,0
2,1.32E+18,10/24/2020 20:47, مستخدم  خل اراجع تغريداتج اتأكد كومه شايف شني شني واكو تغريدة جانت يوم  اريد اهاجر ,0,0
3,1.31E+18,9/27/2020 23:27, مستخدم  اكدر اهاجر اني اريد,0,0
4,1.30E+18,9/8/2020 18:01,أهاجر وأنسى العذاب لأن حيل العيشه صارت مهزله وقررت تهريب اطلع عالبحار تركيا كون لدولة معدلة وبعد مااراجع ولاشوف العراق وأسمي بالجنسية أنبدله وقررت باجر أشد حيلي وأروح والسفر بعيوني كلش حله نمت بالطيف جن شفت الحسين لبك يرضه تترك كربله  رابط ,1,1
5,1.30E+18,9/4/2020 18:46, مستخدم  أهاجر لمكان بعيد ومهجور ولوحدي,1,0
6,1.30E+18,9/3/2020 13:55,اجت الفرصه اهواي هاجرت اهاجر ان شاء الله  رابط ,0,0
7,1.30E+18,8/21/2020 20:54, مستخدم  هه جا وين اهاجر  ,1,0
8,1.29E+18,7/26/2020 19:14,يارب أهاجر وأعيش بمجتمع حر ومنفتحين بالتفكير شبابهم كول برطانيا  رابط ,1,1
9,1.28E+18,7/18/2020 14:25,بقا يوم يفصلنا الحقيقة اذا كنتو ويانة او ضدنا والله بيدي اهاجر لاي مكان حتلو للسودان ابقة بدولة يحكمها اشخاص يفضلون الفلوس الشعب  للكعبي _ مطلبنا _ تراكمي _ اختياري,1,0
10,1.28E+18,7/12/2020 9:49,اتمنى اهاجر اني اهلي وبحيث تنقطع عني اخبار العراق بشكل كامل لمدة شهر ارتاح شوية هاي الجرائم الي تصير  رابط ,1,0
11,1.28E+18,6/25/2020 11:12, مستخدم  روح وان شاء الله فترة وانا طالعة وراك اكو شغلة ابالي تصير اهاجر منا للأبد,1,1
12,1.26E+18,5/21/2020 23:30,صديقي قلت انتهاء كورونا اهاجر واترك العراق بكى ونزلت دموعه خديه اجبته ملاطفا يابه كفيكم ويانه ترى نشاقى وياكم مو تاخذوها جديات  رابط ,1,0
13,1.26E+18,5/21/2020 23:19,1 أهاجر العراق 2 أغادر العراق 3 أترك العراق  رابط ,1,1
14,1.25E+18,4/1/2020 1:29, مستخدم  امنيتي الجديدة اهاجر,1,1
15,1.24E+18,3/14/2020 20:07, أهاجر موسم التعب  سأعيد ترميم يشبه الطمأنينة  ,0,0
16,1.23E+18,2/23/2020 22:24, راجعين _ 25 خل احجيلكم  شي  طول عمري اتمنه اهاجر العراق والله مره افكر بلموضوع واكو شخص يعرف بيه ويعرف قراري شنو بلنسبه للهجره بدت الثوره وطاحو شهداء عرفت انو ماكو اي بلد يتحملني بلدي وماكو احد يحبني ولد بلدي والي كسر عيني الشباب الي بساحات,1,0
17,1.23E+18,2/15/2020 14:16,اخوان خلي اسلم عليكم أهاجر أمريكا  رابط ,1,1
18,1.23E+18,2/9/2020 19:51, شكرا _ للتظاهرات _ لأنها رجعتلي الامل بالعراق نت مأيسة وانتظر اليوم اللي اهاجر  ,1,0
19,1.22E+18,2/1/2020 14:28,مصدر مطلع  محمد توفيق علاوي يصل رئاسة الجمهورية الرئيس سيكلفه بتشكيل الحكومة دقائق  صارت صدك اني اهاجر بباي,1,1
20,1.22E+18,2/1/2020 11:38, مستخدم  منو عندة شدة يدايني اريد اهاجر  يسقط _ محمد _ توفيق _ علاوي منو عندة شدة يدايني اريد اهاجر  يسقط _ محمد _ توفيق _ علاوي منو عندة شدة يدايني اريد اهاجر  يسقط _ محمد _ توفيق _ علاوي منو عندة شدة يدايني اريد اهاجر  يسقط _ محمد _ توفيق _ علاوي شدة منو عندة  يسقط _ محمد _ توفيق _ علاوي,1,0
21,1.22E+18,2/1/2020 10:17, مستخدم  منو عندة شدة يدايني اريد اهاجر  يسقط _ محمد _ توفيق _ علاوي منو عندة شدة يدايني اريد اهاجر  يسقط _ محمد _ توفيق _ علاوي منو عندة شدة يدايني اريد اهاجر  يسقط _ محمد _ توفيق _ علاوي منو عندة شدة يدايني اريد اهاجر  يسقط _ محمد _ توفيق _ علاوي شدة منو عندة  يسقط _ محمد _ توفيق _ علاوي,1,0
22,1.22E+18,2/1/2020 10:14, مستخدم  منو عندة شدة يدايني اريد اهاجر  يسقط _ محمد _ توفيق _ علاوي منو عندة شدة يدايني اريد اهاجر  يسقط _ محمد _ توفيق _ علاوي منو عندة شدة يدايني اريد اهاجر  يسقط _ محمد _ توفيق _ علاوي منو عندة شدة يدايني اريد اهاجر  يسقط _ محمد _ توفيق _ علاوي شدة منو عندة  يسقط _ محمد _ توفيق _ علاوي,1,0
23,1.22E+18,2/1/2020 10:12, مستخدم   مستخدم  منو عندة شدة يدايني اريد اهاجر  يسقط _ محمد _ توفيق _ علاوي منو عندة شدة يدايني اريد اهاجر  يسقط _ محمد _ توفيق _ علاوي منو عندة شدة يدايني اريد اهاجر  يسقط _ محمد _ توفيق _ علاوي منو عندة شدة يدايني اريد اهاجر  يسقط _ محمد _ توفيق _ علاوي شدة منو عندة  يسقط _ محمد _ توفيق _ علاوي,1,0
24,1.22E+18,1/26/2020 2:32, مستخدم  سنتين اتخرج واصير دنتست شلون اهاجر لبرطانيا ,1,0
25,1.22E+18,1/20/2020 21:57,مراح اهاجر اعيش ببلدي شنو جان الثمن   رابط ,0,0
26,1.21E+18,1/6/2020 22:06, مستخدم  استاذ وداعت امي ولقران الكريم اذا متصير انت رئيس وزرا ابقه عراق دقيقه اهاجر بروحي العزيزه,0,0
27,1.21E+18,1/4/2020 7:22,مسيح العراق لانريد يجعل منا فتنا عراقين ونحب المسلمين ونعيش معهم بسلام نريد العراق نهرب تهديد بلدي أعيش واموت اغادر اهاجر اخاف بلدي واهلي العراق الطائفيه  رابط ,0,0
28,1.21E+18,12/28/2019 18:40,امنيتي اهاجر احجي العصائب  ,1,0
29,1.20E+18,12/4/2019 8:39, مستخدم  اهاجر وأعارض الخارج عبثا تحاول فناء لثائر انا كالقيامة يوم آت,1,0
30,1.20E+18,12/1/2019 3:05, مستخدم  اروح اطلع جواز واهج شهاللعبان   اموت افكر اهاجر  اذا نزعن اهاجر,1,1
31,1.20E+18,11/15/2019 3:26,المشكله اكثر موقع ينهانون بيه السياسيين العراقيين التويتر وبعدهم مصرين يسوون حساباتهم بالتويتر اني منهم اسد حسابي واروح اهاجر للحبشه,0,0
32,1.19E+18,10/29/2019 13:01, مستخدم   مستخدم  اعبد الله ولم اهاجر لدولة حبيبي,0,0
33,1.19E+18,10/27/2019 17:38,ياناس اري أهاجر للخارج,1,1
34,1.18E+18,10/18/2019 0:43, مستخدم   مستخدم   مستخدم  يمه فدوة احلة اخوتة وهيج لعد الي اصغر منة شونة يبوو ماتحمل والله اهاجر ورة هيج أشكال يعني ماكدر اصارح بنية كلهن معجبات والله ميصير,1,0
35,1.17E+18,9/11/2019 14:46, مستخدم  انا اليوم بخير مدام اخلي وعائلتي بخير الف الحمدلله والشكر اقدر اهاجر عندي اب كبير وام محتاجتني جنبها يعني وحيد اهلي يطول بعمرهم,0,0
36,1.17E+18,8/26/2019 22:30, مستخدم  لان اريد اهاجر العراق,1,0
37,1.17E+18,8/23/2019 23:17, مستخدم  اهاجر وره الدمار,1,1
38,1.16E+18,8/19/2019 11:03,اصعب سوال امنيتي اهاجر  بنفس الوقت اهلي حياتي  رابط ,1,0
39,1.16E+18,8/10/2019 15:47,سنة جنت انتظر اتخرج اهاجر وادرس برا  شهر جنت اريد اترك الطب واركز بشغلي الثاني  يوم انتظر اخلص تدرج ابدي بالاقامة القدمى واكمل بالعراق اختصاص  بهاللحظة اني حاير شاسوي لان اكو فرص اخرى ماكو هيجي ضياع وتعاسة,1,0
40,1.14E+18,6/21/2019 18:53,ان عينك وطن واليه أهاجر,0,0
41,1.14E+18,6/14/2019 5:32,أهاجر ام تهاجر فيك روحي   سفر يقر مقام   بهذة الأضلاع نخلا يطير مفارقها الحمام    رابط ,0,0
42,1.12E+18,5/5/2019 4:32,  وين اسافر يدنيا وين اهاجر وين الكه كربله ومابيهه   رابط ,0,0
43,1.12E+18,4/20/2019 19:23,أهاجر الى السماء بقلب حزين مصحوبا بترانيم دعاء  رابط ,0,0
44,1.09E+18,2/2/2019 9:57, مستخدم  ليش تروحين بعيد  اصلا اهاجر,1,0
45,1.09E+18,1/29/2019 19:38,يقول محمود درويش   الطريق البيت أجمل البيت  يجول هاجسي أهيم الدروب أجوس خلال الديار أهاجر يستحق البقاء  ,1,0
46,1.09E+18,1/20/2019 15:22, مستخدم  ابد شلون اهاجر بدونك ميصير المريخ بدون محرم يقبلون,1,0
47,1.07E+18,11/27/2018 11:09,بيه واهس طير حر ارد افر الدنيا فر وين ماعند الله كاع انه استقر ارد اسافر ارد اهاجر ارد اعاشر ناس ماتكسرلي خاطر العراقي حيدر  رابط ,1,0
48,1.06E+18,11/11/2018 17:07, مستخدم  أهاجر ,1,0
49,1.04E+18,8/31/2018 13:09, مستخدم  ترهقني   علي ان انزوي جانبا لأحقن روحي بالصمود امام الدهشات المحتملة ان اهاجر اليك,0,0
50,1.03E+18,8/15/2018 8:55,استطيع ان أهاجر تهاجر الطيور   ٲ قسم باني ٲ عودد االملك  رابط ,1,0
51,1.03E+18,8/11/2018 9:41, مستخدم  علمتني الحياة اهاجر وأترك شغفي بتسامة الغرباء نسوا اصحابهم,0,0
52,1.02E+18,8/2/2018 7:07,تضعني كبالون اختبارلتدرك اني افكر اتبع ظلي ولعيناها  اهاجر,0,0
53,1.02E+18,7/25/2018 18:05,انا اهاجر المريخ ماعرف عنكم شي   رابط ,1,1
54,9.91E+17,4/30/2018 19:51,وصلنا الموديل اني اهاجر الى الحبشه  رابط ,1,0
56,9.18E+17,10/11/2017 17:51,انعابت ماينفع بهاجير رست وحباله بمتني بهاجر اذا تبقى هالحاله اهاجر اروح بعيد بأرض الله السعيه  رابط ,1,0
57,8.94E+17,8/7/2017 2:59, مستخدم   مستخدم   مستخدم  ونصيحه تعيش تناقض عم دافع احلام وانت تكول اريد اهاجر حرام الوقص والاغاني هسه منو التافه تافه منحط متخلف متخلفقفف  رابط ,0,0
58,8.91E+17,7/29/2017 21:02,بيه واهس طير حر ارد افر الدنيا فر وين ماعند الله كاع انه استقر ارد اسافر ارد اهاجر ارد اعاشر ناس ماتكسرلي خاطر,1,0
59,8.91E+17,7/28/2017 17:21,جبت الكون وخليته يمي مايسوه وصلة خيط شيلة امي ماادري شلون يمه افاركج عذرني مضطرة اهاجر لان تعبت خيبات انتي وطن  رابط ,1,1
60,8.88E+17,7/20/2017 13:58,امنيتي اهاجر لنيوزلندا  قول _ شي _ _ امنياتك,1,0
61,8.18E+17,1/7/2017 9:34, مستخدم  طاح حظك خنثى مرة اخرى اهاجر طرطور ودواعشكم يرجعهم وجه النحس الاجرب,0,0
62,7.85E+17,10/9/2016 21:54, _ اكدر اهاجر برا واتعلم تعليم عالي وارجع للعراق,1,0
63,7.80E+17,9/24/2016 17:08,النفسيه زفت العراق بسبب المليشيات المسلحة والأحزاب المرتبطة بجهات خارجيه نفسي اهاجر واهرب حيله  داني العراقي ,1,0
64,7.80E+17,9/24/2016 17:06, مستخدم   مستخدم   مستخدم   مستخدم   مستخدم  نفسي اهاجر الئ قطر,1,0
65,7.71E+17,9/1/2016 19:47, بالعراقي _ عبر بحر ايجا اهاجر لليونان وغدر بيا البحر ورجعت بكفان,0,0
66,7.66E+17,8/16/2016 23:03, مستخدم   مستخدم  اريد اهاجر لمريكا ممكن توضيح الفكره علما عندي شهاده دبلوم انظمة حاسبات لان كلش تعبنه بالعراق احمد قار,1,0
67,7.63E+17,8/9/2016 11:31, مستخدم  منو كالج انا مامهاجر يوميه اهاجر الحبشة الى يثرب هع هه,0,0
